year_month,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg,month,quarter,year,is_season,thai_price_lag6,thai_price_lag12,world_price_thb_kg_lag6,world_price_thb_kg_lag12,oil_price_thb_lag6,oil_price_thb_lag12,china_pmi_lag6,china_pmi_lag12,stock_lag6,stock_lag12,thai_price_ma6,thai_price_std6,thai_price_ma12,thai_price_std12,world_price_thb_kg_ma6,world_price_thb_kg_std6,world_price_thb_kg_ma12,world_price_thb_kg_std12,oil_price_thb_ma6,oil_price_thb_std6,oil_price_thb_ma12,oil_price_thb_std12,china_pmi_ma6,china_pmi_std6,china_pmi_ma12,china_pmi_std12,thai_price_pct6,thai_price_pct12,world_price_thb_kg_pct6,world_price_thb_kg_pct12,oil_price_thb_pct6,oil_price_thb_pct12,exchange_rate_usd_pct6,exchange_rate_usd_pct12
2007-11,31261000,228000,212643000.0,230390000.0,33.9,53.2,75.92,3007.269,84.164791833936,11,4,2007,0,71.47,64.78399999999999,82.00404866619239,74.72586819236214,2216.0262,2406.2972573571433,58.6,51.00904761904763,209215000.0,536093680.95238096,68.135,5.260094105622063,69.52833333333334,4.389460172511034,76.06114416212081,5.185830010522807,78.172011058037,4.593559641240972,2772.8824,301.04975826762495,2583.5011666666664,399.9577525578858,54.46666666666667,1.214358541233467,54.99166666666667,1.5687043486053496,6.226388694557161,0.0,2.6349225469820103,0.0,35.70548037744319,0.0,-2.0797227036395083,0.0
2007-12,29622000,253000,238468000.0,230390000.0,33.71,55.4,73.57,3235.4858000000004,83.52645138818198,12,4,2007,0,70.1,64.78399999999999,76.29015418926,74.72586819236214,2438.46,2406.2972573571433,55.7,51.00904761904763,166030000.0,536093680.95238096,68.71333333333334,5.6923480802447965,69.52833333333334,4.389460172511034,77.26719369527447,6.02354045422831,78.172011058037,4.593559641240972,2905.7200333333335,299.8143851976319,2583.5011666666664,399.9577525578858,54.416666666666664,1.1583033569262728,54.99166666666667,1.5687043486053496,4.950071326676175,0.0,9.485230795274369,0.0,32.68562125275791,0.0,-2.2898550724637645,0.0
2008-01,32715000,228000,262799000.0,260492000.0,33.19,55.3,77.75,3045.1825,87.07850177628137,1,1,2008,0,61.38,65.12,69.98272695994184,75.16825965472428,2636.4591,2103.5052,54.5,54.8,216187000.0,280671000.0,71.44166666666668,5.389524716212607,70.58083333333333,4.736802639167502,80.11648949799773,5.931316704280608,79.16453123483342,5.139778831102216,2973.8406,271.49555710120046,2661.974275,389.4617991416242,54.550000000000004,1.2144957801491143,55.03333333333334,1.5697905670000774,26.669925057021814,19.39496314496314,24.428563388398917,15.84477567561795,15.502740019748451,44.76705358275319,-1.5425689706318746,-8.264234383637369
2008-02,35305000,249000,241670000.0,256818000.0,32.62,53.0,81.25,3322.0208,91.0097843711056,2,1,2008,0,64.39,72.91,72.25745844832372,81.465324923125,2531.4276,2208.9925,53.3,55.1,215958000.0,249005000.0,74.25166666666667,5.3728145944808565,71.27583333333334,5.6360857763866425,83.2418771517947,5.902436877529305,79.95990285549847,6.164528801913874,3105.606133333333,194.87249271448638,2754.726633333333,404.03851637533745,54.5,1.2806248474865716,54.85833333333334,1.675197862578591,26.184190091629134,11.438760115210545,25.952097299675934,11.715977880143802,31.231120336998774,50.38624169163091,-4.591985960807254,-8.755244755244762
2008-03,36471000,423000,225728000.0,246450000.0,31.45,53.4,79.25,3194.691,87.808372047869,3,1,2008,0,65.87,69.62,73.9962327822993,78.6260616030648,2793.5886,2309.4022000000004,54.0,53.1,226305000.0,217339000.0,76.48166666666667,3.7210021051682367,72.07833333333333,6.049324279820362,85.543900362723,3.9438274838756455,80.72509539256548,6.542231128996935,3172.4565333333335,121.36206867421718,2828.5007,396.07870979997205,54.400000000000006,1.349073756323206,54.88333333333333,1.64859903793457,20.312737209655364,13.832232117207699,18.666003316960357,11.678456554469307,14.357962371410004,38.33411087943015,-8.06781642794505,-10.296634341129495
2008-04,30104000,637000,208491500.0,236850000.0,31.59,58.4,81.1,3584.2014,89.5576570862688,4,2,2008,0,71.15,72.84,79.675500758964,80.90712148843059,3230.0901000000003,2291.3077,56.1,56.1,235707000.0,178575000.0,78.14,3.020966732686696,72.76666666666667,6.589676959020242,87.19092641727379,2.93819115419879,81.445973359052,7.023038073888046,3231.4750833333333,209.26386707668448,2936.2418416666665,412.18609801495813,54.78333333333333,2.0653490423332013,55.074999999999996,1.9150718002205558,13.984539704848897,11.339923119165274,12.403004980414867,10.691933464812742,10.962892335418118,56.42601820785573,-7.5504828797190555,-9.406366504158292
2008-05,34614000,315000,191255000.0,210783000.0,32.09,59.2,89.65,4086.6615,97.82636610261241,5,2,2008,1,75.92,71.47,84.164791833936,82.00404866619239,3007.269,2216.0262,53.2,58.6,230390000.0,209215000.0,80.42833333333333,5.324736300199884,74.28166666666667,8.165811025058654,89.4678554620532,4.816917849150066,82.764499812087,8.472937539101675,3411.373833333333,375.72620570238774,3092.1281166666668,465.34636409518663,55.78333333333333,2.5427675211601013,55.125,2.0204072496765244,18.084826132771337,25.43724639708971,16.231934958779213,19.294556419801555,35.89278178972351,84.41395232601494,-5.339233038348068,-7.307914500288836
2008-06,34874000,526000,205949000.0,182498000.0,33.2,53.3,97.94,4648.0,106.986988972952,6,2,2008,1,73.57,70.1,83.52645138818198,76.29015418926,3235.4858000000004,2438.46,55.4,55.7,230390000.0,166030000.0,84.49,7.7769274138312205,76.60166666666666,10.492970662940639,93.37794505951486,7.692859552467064,85.32256937739467,10.685523627147766,3646.7928666666667,611.8211922676074,3276.2564500000003,600.653887428302,55.43333333333333,2.7427480137020765,54.925000000000004,2.076327614716995,33.124915046894124,39.71469329529245,28.087554534957082,40.23695470262068,43.65694326335783,90.61210764170828,-1.5129041827350864,-3.7681159420289823
2008-07,34008000,484000,248629000.0,186280000.0,33.5,52.0,98.85,4156.68,107.03978609455999,7,3,2008,0,77.75,61.38,87.07850177628137,69.98272695994184,3045.1825,2636.4591,55.3,54.5,260492000.0,216187000.0,88.00666666666666,8.820241871211136,79.72416666666666,11.10862028773011,96.70482577922797,8.677033402250947,88.41065763861285,11.192025709441612,3832.0424499999995,559.2443586207776,3402.941525,613.6220110506702,54.88333333333333,3.0844232307948074,54.71666666666667,2.241684972325843,27.13826366559484,61.04594330400781,22.923320809494818,52.95172215256721,36.50019333816612,57.661463437836005,0.9340162699608356,-0.6229605458320964
2008-08,33508000,356000,253758000.0,182845000.0,33.85,48.4,89.97,3908.321,99.063618313407,8,3,2008,0,81.25,64.39,91.0097843711056,72.25745844832372,3322.0208,2531.4276,53.0,53.3,256818000.0,215958000.0,89.46,8.179393620556443,81.85583333333334,10.325292387084591,98.0471314362782,8.231333331074245,90.64450429403645,10.315719297121303,3929.75915,500.4350659603828,3517.6826416666663,562.4408900611015,54.11666666666667,4.062716660889197,54.30833333333333,2.8789070948201947,10.732307692307685,39.7266656313092,8.849415475440248,37.09812168975499,17.64890213812027,54.39197234003452,3.7706928264868322,-0.9944428195378663
